001/004_2015-07-29_02-53-20.log:<181>Jul 29 03:40:33 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 0-24-e4-0-33-82, IP: 192.168.1.10]
003/045_2015-08-31_04-22-01.log:<134>Aug 31 04:26:17 Vigor: [ARP][LAN IP conflict - lan ip conflicts with the one host whose MAC is 10:7B:EF:C5:E9:E0, please contact with the administrator]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 04:14:34 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: a4-9a-58-42-2e-e0, IP: 192.168.179.34]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 04:15:33 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: a4-9a-58-42-2e-e0, IP: 192.168.179.34]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 04:19:31 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 64-6c-b2-36-c4-9, IP: 192.168.179.40]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 04:20:49 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 64-6c-b2-36-c4-9, IP: 192.168.179.40]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 04:29:08 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 0-4-20-2d-7b-93, IP: 192.168.1.12]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 04:30:06 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: 0-4-20-2d-7b-93, IP: 192.168.1.12]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 04:31:38 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-da-e9-49-e3-62, IP: 192.168.179.41]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 04:31:42 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-da-e9-49-e3-62, IP: 192.168.179.41]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 04:40:45 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-da-e9-49-e3-62, IP: 192.168.1.12]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 04:47:29 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 80-ea-96-10-ca-e8, IP: 192.168.179.42]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 05:05:35 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 0-f7-6f-ab-15-96, IP: 192.168.179.44]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 05:07:05 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: c0-9f-42-7a-ed-2b, IP: 192.168.1.45]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 05:16:41 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: c0-9f-42-7a-ed-2b, IP: 192.168.1.45]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 05:45:07 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-f3-8-f9-4b-48, IP: 192.168.179.47]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 06:24:00 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 06:24:04 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 06:49:55 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/045_2015-08-31_04-22-01.log:<181>Aug 31 06:50:00 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/046_2015-08-31_07-00-54.log:<181>Aug 31 07:19:52 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/046_2015-08-31_07-00-54.log:<181>Aug 31 07:19:55 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/048_2015-08-31_08-58-41.log:<181>Aug 31 09:01:53 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: f0-25-b7-a1-cd-af, IP: 192.168.179.46]
003/048_2015-08-31_08-58-41.log:<181>Aug 31 09:55:04 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/048_2015-08-31_08-58-41.log:<181>Aug 31 09:59:48 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 60-e7-1-b8-f1-59, IP: 192.168.179.48]
003/048_2015-08-31_08-58-41.log:<181>Aug 31 09:59:51 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 60-e7-1-b8-f1-59, IP: 192.168.179.48]
003/048_2015-08-31_08-58-41.log:<181>Aug 31 10:03:32 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 60-e7-1-b8-f1-59, IP: 192.168.179.48]
003/048_2015-08-31_08-58-41.log:<181>Aug 31 10:10:24 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 80-be-5-ec-6a-5b, IP: 192.168.179.33]
003/048_2015-08-31_08-58-41.log:<181>Aug 31 10:15:22 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/048_2015-08-31_08-58-41.log:<181>Aug 31 10:15:25 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/048_2015-08-31_08-58-41.log:<181>Aug 31 10:15:32 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/048_2015-08-31_08-58-41.log:<181>Aug 31 10:20:49 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 8c-bf-a6-7e-c3-ed, IP: 192.168.179.45]
003/048_2015-08-31_08-58-41.log:<181>Aug 31 10:52:41 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-f3-8-f9-4b-48, IP: 192.168.179.47]
003/048_2015-08-31_08-58-41.log:<181>Aug 31 11:06:55 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 80-be-5-ec-6a-5b, IP: 192.168.179.33]
003/048_2015-08-31_08-58-41.log:<181>Aug 31 11:07:08 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: a4-9a-58-42-2e-e0, IP: 192.168.179.34]
003/049_2015-08-31_11-30-32.log:<181>Aug 31 12:15:35 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/049_2015-08-31_11-30-32.log:<181>Aug 31 13:27:41 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/050_2015-08-31_14-12-35.log:<181>Aug 31 14:09:56 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.51]
003/050_2015-08-31_14-12-35.log:<181>Aug 31 14:13:16 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.51]
003/050_2015-08-31_14-12-35.log:<181>Aug 31 14:14:00 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.51]
003/050_2015-08-31_14-12-35.log:<181>Aug 31 14:14:36 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.51]
003/050_2015-08-31_14-12-35.log:<181>Aug 31 14:19:21 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/050_2015-08-31_14-12-35.log:<181>Aug 31 14:23:47 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.51]
003/050_2015-08-31_14-12-35.log:<181>Aug 31 14:23:49 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.51]
003/050_2015-08-31_14-12-35.log:<181>Aug 31 15:04:26 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-cc-20-4-ab-44, IP: 192.168.179.52]
003/050_2015-08-31_14-12-35.log:<181>Aug 31 15:22:14 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: a4-9a-58-42-2e-e0, IP: 192.168.179.34]
003/050_2015-08-31_14-12-35.log:<181>Aug 31 15:31:11 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 8-3d-88-d8-c1-69, IP: 192.168.179.53]
003/050_2015-08-31_14-12-35.log:<181>Aug 31 15:37:12 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: a0-e4-53-ef-41-d1, IP: 192.168.1.13]
003/050_2015-08-31_14-12-35.log:<181>Aug 31 15:51:17 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: c0-9f-42-7a-ed-2b, IP: 192.168.1.45]
003/050_2015-08-31_14-12-35.log:<181>Aug 31 16:26:47 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-f3-8-f9-4b-48, IP: 192.168.179.47]
003/051_2015-08-31_16-34-57.log:<181>Aug 31 17:07:28 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: d4-f4-6f-aa-f9-98, IP: 192.168.179.54]
003/051_2015-08-31_16-34-57.log:<181>Aug 31 17:08:50 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 80-ea-96-10-ca-e8, IP: 192.168.179.42]
003/051_2015-08-31_16-34-57.log:<181>Aug 31 17:30:45 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/051_2015-08-31_16-34-57.log:<181>Aug 31 17:46:42 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: 9c-ad-97-92-a7-63, IP: 192.168.1.11]
003/051_2015-08-31_16-34-57.log:<181>Aug 31 17:48:29 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 9c-ad-97-92-a7-63, IP: 192.168.1.11]
003/051_2015-08-31_16-34-57.log:<181>Aug 31 18:23:06 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 1c-7b-21-4e-c1-ce, IP: 192.168.179.38]
003/051_2015-08-31_16-34-57.log:<181>Aug 31 18:28:33 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-da-e9-49-e3-62, IP: 192.168.179.41]
003/051_2015-08-31_16-34-57.log:<181>Aug 31 18:29:07 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-da-e9-49-e3-62, IP: 192.168.179.41]
003/051_2015-08-31_16-34-57.log:<181>Aug 31 18:30:23 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-da-e9-49-e3-62, IP: 192.168.1.12]
003/051_2015-08-31_16-34-57.log:<181>Aug 31 18:36:11 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-9a-10-c1-69-14, IP: 192.168.179.55]
003/051_2015-08-31_16-34-57.log:<181>Aug 31 18:41:34 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 64-6c-b2-36-c4-9, IP: 192.168.179.40]
003/051_2015-08-31_16-34-57.log:<181>Aug 31 18:41:46 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 64-6c-b2-36-c4-9, IP: 192.168.179.40]
003/051_2015-08-31_16-34-57.log:<181>Aug 31 18:42:01 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 64-6c-b2-36-c4-9, IP: 192.168.179.40]
003/051_2015-08-31_16-34-57.log:<181>Aug 31 18:47:17 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/052_2015-08-31_18-53-25.log:<181>Aug 31 19:41:12 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/052_2015-08-31_18-53-25.log:<181>Aug 31 20:24:37 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 8c-bf-a6-7e-c3-ed, IP: 192.168.179.45]
003/053_2015-08-31_20-48-35.log:<181>Aug 31 20:55:14 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 64-6c-b2-36-c4-9, IP: 192.168.179.40]
003/053_2015-08-31_20-48-35.log:<181>Aug 31 21:23:01 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 8-3d-88-d8-c1-69, IP: 192.168.179.53]
003/053_2015-08-31_20-48-35.log:<181>Aug 31 21:27:48 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/053_2015-08-31_20-48-35.log:<181>Aug 31 21:28:56 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: c4-7-2f-4d-14-7a, IP: 192.168.179.56]
003/053_2015-08-31_20-48-35.log:<181>Aug 31 22:13:30 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: 0-24-e4-0-33-82, IP: 192.168.1.10]
003/053_2015-08-31_20-48-35.log:<181>Aug 31 22:14:19 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/053_2015-08-31_20-48-35.log:<181>Aug 31 22:27:23 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: e4-40-e2-d8-b9-fc, IP: 192.168.179.37]
003/053_2015-08-31_20-48-35.log:<181>Aug 31 22:27:27 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: e4-40-e2-d8-b9-fc, IP: 192.168.179.37]
003/054_2015-08-31_22-38-44.log:<181>Aug 31 22:33:42 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: 14-2d-27-19-92-ed, IP: 192.168.1.16]
003/054_2015-08-31_22-38-44.log:<181>Aug 31 22:34:06 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.51]
003/054_2015-08-31_22-38-44.log:<181>Aug 31 23:59:53 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/054_2015-08-31_22-38-44.log:<181>Sep  1 03:20:12 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 64-6c-b2-36-c4-9, IP: 192.168.179.40]
003/054_2015-08-31_22-38-44.log:<181>Sep  1 05:11:45 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 0-f7-6f-ab-15-96, IP: 192.168.179.44]
003/054_2015-08-31_22-38-44.log:<181>Sep  1 05:14:32 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-da-e9-49-e3-62, IP: 192.168.179.41]
003/054_2015-08-31_22-38-44.log:<181>Sep  1 05:18:02 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 80-ea-96-10-ca-e8, IP: 192.168.179.42]
003/055_2015-09-01_05-43-49.log:<181>Sep  1 05:43:47 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-f3-8-f9-4b-48, IP: 192.168.179.47]
003/055_2015-09-01_05-43-49.log:<181>Sep  1 05:44:43 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/055_2015-09-01_05-43-49.log:<181>Sep  1 05:44:46 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/055_2015-09-01_05-43-49.log:<181>Sep  1 05:56:09 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/055_2015-09-01_05-43-49.log:<181>Sep  1 05:56:13 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/055_2015-09-01_05-43-49.log:<181>Sep  1 06:47:20 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: f4-9-d8-72-f0-cd, IP: 192.168.1.10]
003/055_2015-09-01_05-43-49.log:<181>Sep  1 08:26:25 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 18-f6-43-cb-b9-e, IP: 192.168.1.103]
003/055_2015-09-01_05-43-49.log:<181>Sep  1 14:07:10 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-da-e9-49-e3-62, IP: 192.168.1.12]
003/055_2015-09-01_05-43-49.log:<181>Sep  1 15:21:01 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 18-f6-43-cb-b9-e, IP: 192.168.1.10]
003/055_2015-09-01_05-43-49.log:<181>Sep  1 15:35:15 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: a0-e4-53-ef-41-d1, IP: 192.168.1.11]
003/056_2015-09-01_17-02-54.log:<181>Jan  1 00:00:11 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-da-e9-49-e3-62, IP: 192.168.1.12]
003/056_2015-09-01_17-02-54.log:<181>Sep  1 16:46:42 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: c0-9f-42-7a-ed-2b, IP: 192.168.1.13]
003/056_2015-09-01_17-02-54.log:<181>Sep  1 17:33:48 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 9c-ad-97-92-a7-63, IP: 192.168.1.14]
003/056_2015-09-01_17-02-54.log:<181>Sep  1 19:44:19 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-2d-27-19-92-ed, IP: 192.168.1.10]
003/056_2015-09-01_17-02-54.log:<181>Sep  1 19:55:31 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 8c-bf-a6-7e-c3-ed, IP: 192.168.179.45]
003/056_2015-09-01_17-02-54.log:<181>Sep  1 19:56:30 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/056_2015-09-01_17-02-54.log:<181>Sep  1 20:04:33 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: c0-9f-42-7a-ed-2b, IP: 192.168.1.13]
003/056_2015-09-01_17-02-54.log:<181>Sep  1 20:45:28 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 8-3d-88-d8-c1-69, IP: 192.168.179.53]
003/056_2015-09-01_17-02-54.log:<181>Sep  1 21:05:02 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 1c-7b-21-4e-c1-ce, IP: 192.168.179.31]
003/056_2015-09-01_17-02-54.log:<181>Sep  1 21:09:03 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: c4-7-2f-4d-14-7a, IP: 192.168.179.32]
003/056_2015-09-01_17-02-54.log:<181>Sep  1 21:42:37 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 0-24-e4-0-33-82, IP: 192.168.1.11]
003/056_2015-09-01_17-02-54.log:<181>Sep  1 21:48:45 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-cc-20-4-ab-44, IP: 192.168.179.52]
003/056_2015-09-01_17-02-54.log:<181>Sep  1 22:05:05 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 1c-7b-21-4e-c1-ce, IP: 192.168.179.31]
003/057_2015-09-01_22-44-23.log:<181>Sep  1 22:41:56 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 8-3d-88-d8-c1-69, IP: 192.168.179.53]
003/057_2015-09-01_22-44-23.log:<181>Sep  1 22:47:23 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/058_2015-09-01_23-04-31.log:<181>Sep  2 04:30:33 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-2d-27-19-92-ed, IP: 192.168.179.43]
003/058_2015-09-01_23-04-31.log:<181>Sep  2 04:36:51 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-cc-20-4-ab-44, IP: 192.168.179.52]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 04:43:40 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 04:46:52 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: c4-7-2f-4d-14-7a, IP: 192.168.179.32]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 04:56:28 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 80-be-5-ec-6a-5b, IP: 192.168.179.33]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 04:57:59 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-cc-20-4-ab-44, IP: 192.168.179.52]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 05:11:46 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 0-f7-6f-ab-15-96, IP: 192.168.179.34]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 05:12:16 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-cc-20-4-ab-44, IP: 192.168.179.52]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 06:00:04 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-10-41-b-22-b5, IP: 192.168.179.35]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 06:00:08 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-10-41-b-22-b5, IP: 192.168.179.35]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 06:39:52 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-7d-c5-43-54-d, IP: 192.168.179.36]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 06:40:27 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 07:18:40 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 80-ea-96-10-ca-e8, IP: 192.168.179.37]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 07:27:16 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 8c-bf-a6-7e-c3-ed, IP: 192.168.179.45]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 07:36:51 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 8c-bf-a6-7e-c3-ed, IP: 192.168.179.45]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 07:38:21 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 8c-bf-a6-7e-c3-ed, IP: 192.168.179.45]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 07:58:00 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 80-c5-e6-c7-80-86, IP: 192.168.179.38]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 08:39:34 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-7d-c5-43-54-d, IP: 192.168.179.36]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 09:15:56 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: a4-9a-58-42-2e-e0, IP: 192.168.179.39]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 09:21:40 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.40]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 09:28:32 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/059_2015-09-02_04-43-18.log:<181>Sep  2 09:38:25 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-da-e9-49-e3-62, IP: 192.168.179.41]
003/060_2015-09-02_10-14-30.log:<181>Sep  2 09:58:17 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/060_2015-09-02_10-14-30.log:<181>Sep  2 10:34:28 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/060_2015-09-02_10-14-30.log:<181>Sep  2 10:52:58 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b8-4f-d5-8c-8e-e9, IP: 192.168.179.42]
003/060_2015-09-02_10-14-30.log:<181>Sep  2 11:02:52 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: e4-8b-7f-df-d7-e8, IP: 192.168.179.44]
003/060_2015-09-02_10-14-30.log:<181>Sep  2 12:43:55 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b8-4f-d5-8c-8e-e9, IP: 192.168.179.42]
003/060_2015-09-02_10-14-30.log:<181>Sep  2 13:05:39 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/060_2015-09-02_10-14-30.log:<181>Sep  2 13:05:44 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/060_2015-09-02_10-14-30.log:<181>Sep  2 13:12:48 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: f0-25-b7-b2-b3-43, IP: 192.168.1.14]
003/060_2015-09-02_10-14-30.log:<181>Sep  2 13:13:50 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/060_2015-09-02_10-14-30.log:<181>Sep  2 13:19:39 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b8-4f-d5-8c-8e-e9, IP: 192.168.179.42]
003/060_2015-09-02_10-14-30.log:<181>Sep  2 13:37:06 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.40]
003/060_2015-09-02_10-14-30.log:<181>Sep  2 15:18:04 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-9a-10-c1-69-14, IP: 192.168.179.46]
003/060_2015-09-02_10-14-30.log:<181>Sep  2 15:35:04 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: e4-8b-7f-df-d7-e8, IP: 192.168.179.44]
003/060_2015-09-02_10-14-30.log:<181>Sep  2 16:07:29 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/060_2015-09-02_10-14-30.log:<181>Sep  2 16:07:33 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/060_2015-09-02_10-14-30.log:<181>Sep  2 16:12:03 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/060_2015-09-02_10-14-30.log:<181>Sep  2 16:29:28 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.40]
003/061_2015-09-02_16-55-57.log:<181>Sep  2 16:55:31 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 24-65-11-41-b4-3b, IP: 192.168.1.15]
003/061_2015-09-02_16-55-57.log:<181>Sep  2 16:55:57 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/061_2015-09-02_16-55-57.log:<181>Sep  2 16:56:00 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.30]
003/061_2015-09-02_16-55-57.log:<181>Sep  2 17:04:44 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: c4-7-2f-4d-14-7a, IP: 192.168.179.32]
